u,v,key,osmid,highway,name,oneway,ref,reversed,length,geometry,lanes,maxspeed,bridge,tunnel,width,access,traffic
258071908,1105152856,0,"[1070720649, 1070720646]",tertiary,銀座桜通り,False,,False,53.1054209094128,"LINESTRING (139.7687537 35.6747814, 139.7686367 35.6748128, 139.7685452 35.6748397, 139.7681998 35.6749414)",2,,,,,,1
260426062,2135828550,0,240595359,tertiary,,False,,False,29.4391243948074,"LINESTRING (139.7593544 35.6693074, 139.7595295 35.6691786, 139.7595953 35.6691291)",2,,,,,,1
260426062,1105125191,0,240595359,tertiary,,False,,True,20.9068913556741,"LINESTRING (139.7593544 35.6693074, 139.7592333 35.6693961, 139.7591657 35.6694045)",2,,,,,,1
304153029,473470182,0,27695604,unclassified,並木通り,True,,False,11.9369620209906,"LINESTRING (139.7638769 35.672018, 139.7639598 35.6721016)",,,,,10,,1
304153029,473471533,0,539237085,primary,晴海通り,True,304,False,32.6959767186845,"LINESTRING (139.7638769 35.672018, 139.7637878 35.6720807, 139.7636015 35.6722088)",3,,,,,,1
304153030,565362076,0,27695604,unclassified,並木通り,True,,False,104.888937602416,"LINESTRING (139.7603126 35.6686238, 139.7610058 35.6693057, 139.761052 35.6693511)",,,,,10,,1
304153031,2135828545,0,27695605,unclassified,,True,,False,3.76194487552094,"LINESTRING (139.7596375 35.6690963, 139.7596686 35.6690738)",,,,,,,1
304153031,2135828550,0,240595359,tertiary,,False,,True,5.27582586028336,"LINESTRING (139.7596375 35.6690963, 139.7595953 35.6691291)",2,,,,,,1
304153034,473462991,0,27695604,unclassified,並木通り,True,,False,130.312073207621,"LINESTRING (139.7619866 35.6702206, 139.7620316 35.6702658, 139.7628765 35.6710757, 139.762918 35.6711155)",,,,,10,,1
304153034,473470386,0,33847144,unclassified,交詢社通り,True,,False,43.9726724154254,"LINESTRING (139.7619866 35.6702206, 139.7619348 35.6702575, 139.7616091 35.6704702)",,,,,,,1
304153036,565362121,0,46869644,unclassified,銀座マロニエ通り,False,,True,7.20142870039723,"LINESTRING (139.7668881 35.6729325, 139.7668254 35.6729725)",,,,,,,1
304153036,689881123,0,568498791,trunk,中央通り,True,15,False,132.769594281218,"LINESTRING (139.7668881 35.6729325, 139.7668103 35.6728587, 139.7660367 35.6721257, 139.7659974 35.6720885, 139.7659316 35.6720259)",2,50,,,,,1
387769189,565362085,0,33847144,unclassified,交詢社通り,True,,False,37.448181863353,"LINESTRING (139.7608877 35.6710007, 139.7605735 35.6712204)",,,,,,,1
387769189,2019136813,0,39629507,residential,,True,,False,90.9582340503887,"LINESTRING (139.7608877 35.6710007, 139.7608467 35.6709618, 139.7602333 35.670379)",,,,,,,1
387769191,5102651244,0,44492913,unclassified,花椿通り,False,,False,7.96765467932513,"LINESTRING (139.7599582 35.6701194, 139.7600229 35.6700707)",,,,,,,1
387769191,565362081,0,44492913,unclassified,花椿通り,False,,True,31.9240515918205,"LINESTRING (139.7599582 35.6701194, 139.7597181 35.6702765, 139.7596803 35.6702965)",,,,,,,1
473462991,304153029,0,27695604,unclassified,並木通り,True,,False,132.565954162898,"LINESTRING (139.762918 35.6711155, 139.7629629 35.6711578, 139.7638107 35.6719558, 139.7638769 35.672018)",,,,,10,,1
473462991,473474086,0,39629578,unclassified,みゆき通り,True,,False,45.9207952953065,"LINESTRING (139.762918 35.6711155, 139.762963 35.671084, 139.7633034 35.6708462)",,30,,,,,1
473462992,473462993,0,39629578,unclassified,みゆき通り,True,,False,6.71808277434992,"LINESTRING (139.7640459 35.6703246, 139.7641027 35.6702856)",,30,,,,,1
473462992,258071906,0,196380141,trunk,中央通り,True,15,False,128.217016888224,"LINESTRING (139.7640459 35.6703246, 139.7641098 35.6703867, 139.7648129 35.67105, 139.7648547 35.6710894, 139.7649681 35.6712011)",2,50,,,,,1
473462993,1130958981,0,39629578,unclassified,みゆき通り,True,,False,57.0946306473037,"LINESTRING (139.7641027 35.6702856, 139.7641677 35.6702429, 139.7645762 35.6699456)",,30,,,,,1
